k,rho,nu,beta,delta,gamma
0.07716552197896642,0.8901952455127912,1.057904847100283,-0.9650698151826065,-0.9174257476120528,-1.0946676506097692
0.00426420698243013,0.8730173255089528,1.1135828389036426,-0.9889114930919405,-0.9974579546951537,-1.017657050092883
0.05281044719004119,0.9181832575472226,1.0716405704317236,-0.953058943343073,-0.9171318072165684,-1.056855247044113
0.046076674708830256,1.0257503630982656,1.0081992140815461,-0.9761242614627922,-0.9624984325768793,-1.029916165151204
0.08262018524132153,0.8307668257457185,1.0854059925752564,-0.9654391357237572,-0.9269457591088276,-1.0603148369290833
0.10797982433860709,0.8384765022550078,1.0883026142482712,-0.9888369858078433,-0.9435909287976614,-0.9671481340011198
0.018124508593976296,0.9863258139090886,1.0283926357521092,-0.9913001185162224,-0.9472942078954807,-1.0447062561521752
0.03897283576480115,1.0075926826710873,1.0323826600705177,-0.9421886585482586,-0.9031953453216089,-1.135640147527836
0.07323657407987116,1.0230524387777258,1.0026918747214806,-0.9349140887894708,-0.9440541739426159,-1.069671964538719
0.019840581272359437,1.0607246289168777,1.056562585584019,-0.9860806784132787,-0.9424023474443582,-1.0285555262618484
-0.024378604264946313,1.0296336501919747,1.073523229864742,-0.9911148738235871,-0.9532396791094442,-1.0686642594556126
0.05392871533507748,1.0027009995256677,1.0069642624110304,-0.9709828794638298,-0.9706136090949827,-1.021029557761389
0.055131100091785123,0.7720839033682125,1.0673121808625643,-0.9628700964557644,-0.8785489156657996,-1.1853251557812747
0.10302599210057228,0.9736101720393935,1.0236363860266342,-0.9738419735034015,-0.9561592067137084,-0.9603701396388236
-0.0008768769508828433,1.0254892660210768,0.9993225347580766,-0.9713662422202753,-0.9216141228206083,-1.1000395451058087
0.004334230963970037,0.8897703339011058,1.1042772251482391,-0.9834477963186312,-0.9593246550944129,-1.0418483699473127
-0.00979464635377214,1.1515091670985647,0.9808068019531064,-0.9821134429474613,-0.8962281512110575,-1.0812505952001847
0.07710573862666803,0.8881785617842961,1.1155000660841796,-0.9683660583180862,-0.8711852345289853,-1.0863621307772284
0.0718076535624732,0.9551374457390076,0.9658371343741194,-0.9216521170571603,-0.8527438146716337,-1.192952326816494
0.08251296793171872,0.9175432179419978,1.057231355591819,-0.9860906650940506,-0.9480157834622182,-1.000678072197045
0.057003175540348394,1.0059796356861679,0.9346475267864072,-0.9631979874524536,-0.9700968957928428,-1.0548103370467832
-0.006770932029529442,0.9228845127328247,1.076791988496878,-0.9958445441254264,-1.0013783612479883,-1.000417269828724
0.060504923971657076,0.921595106056181,1.0692014089223956,-0.9828551946152818,-0.9387739439878985,-1.0220174497569898
-0.0573357470972673,1.0477599999833314,1.056383877102716,-0.9943159827706485,-0.903333591836708,-1.153497598481664
0.0620818584202652,0.9470450006611295,1.0578909965430654,-0.9787948260550932,-0.9716151775845799,-0.9907369743918919
-0.014941888929867808,0.9711402947406478,1.042722270931476,-0.9677957013959975,-0.889169740770444,-1.1658023409476166
0.03845368471321858,0.8003515511743042,1.1815030207781339,-0.9681062226361075,-0.9628350070520153,-1.0074961814344046
0.019636399626158818,0.963610383331898,1.0919353980824031,-0.9774273650270812,-0.9395685976092288,-1.0486378870199502
0.05302943182776716,0.8579944043747991,1.1044627747220135,-0.980942756410537,-0.9325576082958029,-1.0212544229742844
-0.0064973472839684465,1.100901119781146,1.0463853230327453,-0.9706039067168589,-0.9295478292563842,-1.0969433157014974
0.06127120756996629,0.9463225584092694,1.0443152547798291,-0.9676108025140143,-0.9362085579135256,-1.0637708055275055
0.008373135694836553,0.927932744820546,1.0745627896852303,-0.9687121494894492,-0.9196442449040959,-1.093062531677881
0.029498818179638064,1.073647216515519,1.0332302647400455,-0.9675728251303446,-0.9726595540192601,-0.9915144791592241
0.04404353661494727,0.9465958454111293,1.0546731215587597,-0.9790802535604798,-0.9520796333145947,-1.0415885092989843
-0.05772263973482972,1.095351595877462,1.0899473520501832,-0.9819874243742172,-0.928714099324049,-1.1231396405454603
-0.0003652553829189831,1.0917091012799982,1.0382104118618083,-0.9814013524054293,-0.9180246858716684,-1.0536643447019953
0.03603353255123898,0.8628844445776841,1.0848381205795912,-0.9827164685264608,-0.9639745240939906,-1.0366422243603388
0.006487722763320214,1.013525577358401,1.037494851694503,-0.9766826845757546,-0.9552006792286508,-1.0774901491825437
0.005072826940857922,0.983511742930673,1.0279520076062383,-0.9814223304730936,-0.9063254114239997,-1.134998573539575
0.04478661401936157,0.7427621073186936,1.1705102637737035,-0.9874679384619226,-1.0292165538856843,-0.925445278503122
0.01687094525861027,1.1026336645924906,1.0333820536221938,-0.976205879239408,-0.9772333415035153,-0.9787188217915876
0.009774524397157203,1.0120093789434224,0.9905821862085271,-0.9604609221343516,-0.918111912640939,-1.14154135237836
-0.020706792720368572,1.0920911412383605,1.0382885791030474,-0.9865040871238975,-0.9242184041484597,-1.0831826128759645
0.006654538534497989,1.0739924675163268,0.9990554052331241,-0.9686540654905879,-0.9170718539131716,-1.1015045084677917
-0.0026959031026407843,1.0209900041245108,0.9974128701506371,-0.9616388616760089,-0.9308057736728159,-1.1244146470390963
