k,rho,nu,beta,gamma,sigma,lower,upper
0.2888402043936978,0.7952644170278684,1.032293961186177,-0.9527743027366167,-1.2552787354711743,-0.96,-1.03,-0.9
0.11543582687038599,0.7754351512322577,1.4025747688436225,-1.0381591511780415,-1.2944590216757719,-1.02,-1.09,-0.96
0.15942541638218433,0.8004876741416926,1.3636214538613514,-0.9863739237376232,-1.2511129575439597,-0.95,-1.0,-0.9
0.3797729624272889,0.8944458160588866,1.0760463977066343,-0.8164618514869497,-1.04571922509268,-1.08,-1.2,-0.98
-0.1547335592305361,0.7883101889106541,1.1563742202402598,-1.370925949468334,-1.7181661496365663,-1.39,-1.72,-1.12
0.34241658884960413,0.8398362270431691,1.1880086793583273,-0.9255272150451045,-1.1798522858515246,-1.07,-1.13,-1.02
0.18263512949361027,0.7008774288536368,1.066418590051944,-1.104441057974943,-1.4174160920883967,-1.12,-1.2,-1.05
0.3416108226034058,0.8311163021030812,1.0555247666342413,-0.94200454107168,-1.1994276469216194,-1.07,-1.15,-1.0
0.293057312615208,0.9555369954001172,1.3615252729214915,-0.9163693956100633,-1.0962717439946208,-1.08,-1.13,-1.0
0.21030223013096982,0.9745815119964241,0.8892126349180394,-0.9163947644693835,-1.3222131398131802,-1.34,-1.43,-1.26
0.32611445594894634,0.9000681077899482,0.8100012829150295,-0.9540579857574495,-1.2473786768372621,-1.18,-1.29,-1.07
0.1380515051793432,0.8487159360495284,1.2787280718623717,-1.0290517683575824,-1.3465689984154285,-1.23,-1.36,-1.11
-0.09550682366964838,0.9122835857090874,1.082541901670805,-1.2026177787730419,-1.542462572263169,-1.44,-1.55,-1.32
0.11703933964077001,0.8559655542692519,1.557830393570475,-1.0028353597851236,-1.0937623888116343,-1.16,-1.28,-1.05
0.15016446087052068,0.9120197773001464,1.0598808464362377,-1.053493140727673,-1.336296254764921,-1.16,-1.35,-0.97
0.6673885539503854,0.8857534105986351,0.7509926754286878,-0.7347392467878432,-0.8382010810819798,-1.42,-1.66,-1.21
0.18458457797743882,0.8417982284094669,1.0547380041361605,-1.0081456872998642,-1.2874105609752133,-1.1,-1.16,-1.04
0.22196726708010084,0.7665299344739687,1.1753720412724518,-1.0060493932208545,-1.2362841585999855,-1.22,-1.3,-1.13
0.10662016882624441,0.8319599866894425,0.9233113772709651,-1.0838378811911258,-1.4576166511153552,-1.18,-1.28,-1.07
0.16531739160531222,0.8724724688483854,0.9612481195231672,-0.9391124715563904,-1.3030280686966162,-1.04,-1.11,-0.97
0.29210271391042963,0.8795343531380801,0.8986714478633354,-0.9825467422682346,-1.2753853349121655,-1.08,-1.18,-1.0
0.22194761089883885,0.9963707541879929,1.103209987103689,-1.0096729682201386,-1.2345792235017128,-1.14,-1.22,-1.06
0.18554707167451046,0.9804867959315509,0.9493040829158141,-1.0629753511660731,-1.3745194828070653,-1.21,-1.38,-1.04
-0.08789813324162306,0.8929340410331017,0.8963760476782958,-1.2394084251141817,-1.592327265567771,-1.34,-1.44,-1.23
