k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
0.010019758772360034,0.9983991612593599,1.0181651828349048,-1.0028243369133225,-0.9970931396727274,-0.9977694740232541,-0.54,-1.99,-0.61,-0.46,-2.04,-1.93
0.006044740913135281,1.016674959361134,0.9719310879114536,-0.9967695578701914,-1.0049759524420872,-0.9968216179824106,-0.44,-2.05,-0.52,-0.37,-2.12,-1.98
0.0033596072713729013,0.984525881048089,0.9313397364920035,-1.0097398402258313,-1.0273365466268842,-0.9927170969975436,-0.39,-2.02,-0.47,-0.33,-2.06,-1.98
-0.033723320387489805,1.0102191214119132,1.0299784352228045,-1.0165940940828029,-1.0009430322086166,-0.9977914832807938,-0.6,-2.03,-0.71,-0.49,-2.1,-1.95
0.005093957843845051,0.9948816076155604,1.0225034182848853,-0.9994997776511246,-0.9925187544292287,-1.0048929834004647,-0.55,-1.95,-0.63,-0.47,-2.0,-1.9
-0.01754947541358002,1.0179880627257045,1.0222868189051963,-0.9982334006146587,-1.008004942445012,-0.9974921900821886,-0.53,-2.03,-0.59,-0.48,-2.08,-1.98
-0.004554439800253112,1.0168932358099134,1.0263420829330951,-1.0061291609298095,-0.985893894381073,-1.0056227413278949,-0.57,-2.0,-0.71,-0.47,-2.08,-1.92
-0.02315339127520761,1.0220491399172635,0.9858988757144304,-1.0048686347782754,-1.0021459323497695,-0.9921003235659034,-0.43,-1.97,-0.52,-0.35,-2.1,-1.85
0.012408619073871068,0.9889792180812602,0.9617687313407188,-0.9918377541628483,-0.9955639774989643,-1.017102646972254,-0.45,-2.0,-0.52,-0.39,-2.06,-1.94
-0.029412247214267235,1.0229372746740952,1.0285603785941708,-1.009782206801765,-0.9984159332440946,-0.9961430288426585,-0.51,-2.04,-0.57,-0.45,-2.08,-1.99
-0.02477702499116836,1.0064548921004917,0.9951856537663599,-1.0072958584391043,-0.9942618994480825,-1.0079570828571947,-0.49,-2.01,-0.57,-0.43,-2.06,-1.96
-0.009553432517670789,1.0209428441189967,1.0068746574086322,-0.9955769795243743,-1.0000573865663198,-0.998901987447312,-0.53,-2.04,-0.61,-0.45,-2.1,-1.97
-0.01049468292866047,1.0004639405762836,0.9727104652272048,-0.9993307679533697,-1.0064692195989702,-1.0017334354900032,-0.49,-2.04,-0.61,-0.39,-2.16,-1.9
0.018909392305380877,0.9788291055451791,0.9766968941771901,-1.004073199300409,-0.9941391424210746,-1.0017194710534572,-0.51,-2.01,-0.62,-0.41,-2.08,-1.96
0.040364953699631764,0.9973752374863937,0.9756087971247932,-0.9918200147524945,-0.9980091348991422,-0.9916324483179555,-0.49,-2.0,-0.56,-0.43,-2.06,-1.95
0.03785796493929287,0.9744010209461591,0.9858550515804427,-0.9833365398439127,-0.989481764024644,-0.9949927376445854,-0.49,-2.0,-0.55,-0.42,-2.04,-1.95
0.03873407330496222,1.0019312371243068,0.9506345966389445,-1.0040510381108065,-0.9963666978149114,-0.9817145297248844,-0.46,-2.04,-0.57,-0.37,-2.14,-1.93
-0.011076994523639024,1.0094949483627853,1.0005774922080208,-1.0019954305039815,-0.9975128323560477,-0.9987116550026972,-0.54,-2.0,-0.62,-0.46,-2.05,-1.94
-0.02825976785714563,1.0049768668202854,1.0040879737345816,-1.0072308409769182,-1.0030394112016299,-1.0022569297658752,-0.5,-1.95,-0.63,-0.42,-2.04,-1.87
0.0048158215161856616,1.0047161467359007,0.9781511558868571,-1.0014890887974268,-1.0031209759065773,-0.9917954975280214,-0.49,-2.01,-0.58,-0.42,-2.08,-1.96
-0.0003787830681519135,0.9691903720805355,0.9958726270506069,-1.0080868984425595,-0.9997871463511612,-1.0049137671894637,-0.5,-2.01,-0.64,-0.38,-2.1,-1.91
0.020735567313952936,1.0171783597978186,1.0027785323391536,-0.9966988073562074,-0.9950389253864128,-0.9895099071947655,-0.54,-2.01,-0.61,-0.38,-2.13,-1.89
