k,rho,nu,beta,gamma
0.5737056034224891,0.9593850189460578,1.0443077285354885,-0.8291111361825594,-0.8788212246945231
0.3372022840099205,0.9627500812813857,1.4201688717211347,-0.9493294146346251,-0.9905602037228585
0.4538174508752405,0.7675897169807381,1.491505876078686,-0.8930945562358433,-0.9178358926612582
-0.0406317337653167,0.9018663200696029,2.1333221556184703,-0.9889484614711814,-1.0873235855628238
0.39103562468438124,0.8829620478841443,1.2009263650424669,-0.8883280977420186,-0.9668094163309137
0.5086435060739107,0.8405851600644618,1.0748312542699323,-0.9267375541936863,-1.042719418601708
0.2712781598219927,0.95550275571096,0.9816817049165599,-0.9688300247196604,-1.3496050082835278
0.43594025463279296,0.7661689407102625,1.1007090863340023,-0.9547199146740712,-1.093030545082076
0.16506505269420602,1.0370235290815832,1.7964774763653928,-0.936370892929607,-0.8274920670031943
0.28004684278956715,0.7661339240950823,1.120579207983961,-0.9363478458804323,-1.279244749474772
0.09921412352008524,0.8740472292377338,1.7924497570669755,-0.9101326753112443,-1.1575715143274439
0.4989977211470651,0.8605869654130995,1.1035153184459088,-0.8089771566033375,-0.9326789760208634
0.4115434289066246,0.9595579423892505,1.0881153524696212,-0.8623231735866606,-0.9883543906867432
-0.04881966679590266,0.904929016241038,2.1829996962276628,-0.9284913226973086,-0.9325211743511352
0.5700481306728544,0.8266674654704611,1.397649485344535,-0.7919631714195408,-0.8065277902492256
0.7019467846941054,0.7882432743558019,1.1888651040703249,-0.7588432849315645,-0.8065959959416041
0.3364953129528304,0.8296047552525051,1.615837055924189,-0.8950973122761232,-0.9343073592254523
0.3024488133941319,0.9054456797923485,1.1671526367708922,-0.9123619973092982,-1.131372782380226
0.4400306777313211,0.851298129334148,0.9823650143722286,-0.950178218514699,-0.9956507351367028
0.4491159803909287,0.9225250447480502,0.934255751171485,-0.867848513377315,-0.9937615683602017
0.21888856321987665,0.857650737694776,1.407308129147649,-0.9187818122207779,-1.122191755708106
0.5462784631210722,0.7875148636750298,1.1757308593848472,-0.772862684128415,-0.866124948793965
0.45895153656238935,0.8822759634356927,0.8957228701180624,-0.949790917845763,-1.1465380644540906
0.24028066919225027,0.6618037672282682,1.098545414856326,-1.0106129336355962,-1.371841048801923
0.454091685695494,0.7124533154012406,1.4932387428712972,-0.7859752122256317,-0.9729577860501742
0.44007270230490775,0.8092529026149632,1.3506024827233731,-0.8384339747307955,-0.9223062927051102
0.3753031127803008,0.9348976527520335,1.1189421872745853,-0.9176955423983144,-1.0774092401180468
0.30830596558258294,0.8182874386899424,1.4687717366652158,-0.9655990228339623,-1.0318990965418853
-0.1532683401895658,0.9247511639576877,2.1276707015672542,-1.0652538875651718,-1.1014503770316728
0.24964774583256535,0.7722634686546872,1.929259357287066,-0.9220440682059334,-0.9629076404523577
0.2219840058878849,0.9749529504167247,1.1742087998778972,-1.0246201359398985,-1.174865073358748
0.6182719693077399,0.7483279855140602,1.5282488146183302,-0.8176125000321073,-0.7805532780956244
0.41854224543528473,0.9091476180111623,0.7523207734840383,-0.9180824233387717,-1.0984300499360968
0.34261659917453435,0.8741268956525217,1.0088673663851415,-0.9155891181179212,-1.2099295314551475
0.30625633726934737,0.8286913780731785,1.6574762201545379,-0.961509861470546,-0.8640032395835113
0.4161001068935679,0.949369619779086,1.1756339313450446,-0.8607774844741979,-0.8909397336542579
0.3766224851746901,0.8458458721056321,1.3123744352513687,-0.8891641455577349,-1.0578157855928003
0.3129281440328437,0.674280726425307,1.4719189987863868,-1.017540869570348,-1.2031540964821796
0.644585403404728,0.739988562426965,0.7012139891662913,-0.8603324427575632,-0.9984727160567628
0.2689839702319908,0.7858570674033485,1.0201812127973084,-0.9970094970660475,-1.222128032340554
0.5609245289528799,0.8918484987383266,1.223088066982634,-0.8267804014448998,-0.8190795074379882
0.32719371480307846,0.8578811423013454,1.6372425047215926,-0.8441820044389886,-0.9556916662513786
-0.04918605503966145,0.8738980530396874,1.5634983877754216,-1.0038636034910193,-1.4920388091748067
0.40863440628814596,0.709939843737168,1.372558565248149,-0.8296841314647659,-1.0286792748218454
0.3844744664048647,0.9345955978278891,1.26463478675994,-0.8817828953298953,-0.9996705815224207
0.42262697854369,0.8909553425853226,1.39488719740604,-0.8798130318793432,-0.8952540399458844
0.20313530682551556,0.8182204239170637,1.4125140805036032,-0.9076879356842001,-1.2176292932124873
0.5891123493939214,0.917784751414402,0.9018838187228047,-0.8624806925609625,-0.8899985368416936
0.39113444747848947,0.7827968815855556,1.115347791017345,-0.8803361005933583,-1.0014717715136938
0.30062383473481963,0.8502044275337275,1.495890742524682,-0.9838427792708538,-1.0643059131700676
0.5598785029299234,0.6948787528744556,1.4320069460569491,-0.8615200731867289,-0.8511523732804918
0.3788916225620579,0.7978885492970341,1.1761427683574472,-0.887961902317296,-1.0575255410710416
0.40942737024607023,0.8322133112510305,1.3593802300782054,-0.9246583557970283,-1.0070658397879146
0.4203692497420861,0.9095301541295417,0.8367218536839721,-0.8650651953669065,-1.107507934192067
0.21492813805769728,0.8323190888502487,1.2425131073895113,-1.0108145209099189,-1.2984412967048509
0.25705922320307073,0.7347213238191473,1.2556560584178875,-0.9392424540876878,-1.2095669051236015
0.31278582003041266,0.8655221434617996,1.1726159124327862,-0.9162388244670764,-1.247796966775749
