k,rho,nu,beta,gamma,sigma,lower,upper
0.5181162648094799,0.7364597916805208,0.7261039746688782,-0.9308557364083564,-1.1302524753169068,-1.5,-1.66,-1.36
0.16507170042806277,0.8139697169800921,1.0287490994717425,-1.051372718968116,-1.3772348569443762,-1.27,-1.34,-1.19
0.49493109849559114,0.8400888479483477,1.2157506866236778,-0.8762624274304207,-0.94989004595226,-1.47,-1.63,-1.32
0.24991002036709117,0.935531047857211,1.6317862565371786,-0.8818670972572282,-1.0482668658338037,-1.43,-1.58,-1.3
-0.18476158869207704,0.94131446140983,1.5699224190109629,-1.0592500342792088,-1.6912731648880974,-1.31,-1.42,-1.21
0.2592342186902591,0.806667658316301,1.377322345813441,-0.8965042886976309,-1.207161395955983,-1.5,-1.62,-1.38
0.2810420309680537,0.9190314485475111,1.2638737970040936,-0.94387608102379,-1.1211123429192935,-1.57,-1.68,-1.48
0.28635171393416403,0.9170802466546928,1.3960166104862903,-0.9599184791677595,-1.0157544993144862,-1.25,-1.3,-1.2
0.10387877434603185,0.8393499489209468,1.393273620562102,-0.9580550633186969,-1.4761559629251826,-1.42,-1.57,-1.26
0.42325450808900544,0.8920938049230278,0.9201324264119297,-0.9500162048032018,-1.1417015301504236,-1.62,-1.74,-1.52
0.3065764603398621,0.8293272724169736,1.1186824890182412,-0.9246478747771023,-1.1382563755160726,-1.39,-1.51,-1.29
0.21248023683497635,0.7283297284051669,1.454461271935842,-1.0512249696435545,-1.267563507575403,-1.67,-1.75,-1.59
0.35238255777850214,0.7228439437618941,1.4561286772833881,-0.9421875231227554,-1.1953083612935975,-1.56,-1.68,-1.43
0.231366592283891,0.8281694204397416,1.1766938841631889,-0.9476099767871305,-1.2967134270264258,-1.64,-1.78,-1.51
0.2885476736799548,0.8226598108885468,1.3719776800546994,-0.9892130324972432,-1.1174943362905982,-1.71,-1.85,-1.57
0.31888045674093235,0.8762427642861879,0.8359366640523485,-0.9209242983126296,-1.214678873005782,-1.6,-1.78,-1.45
0.07721335335173235,0.8658778254167896,1.2664302394648894,-1.0750593838688078,-1.4310785291655375,-1.43,-1.51,-1.34
0.22001731537481978,0.7425292456067704,1.2556250610272657,-0.9609377993776292,-1.2538591703517872,-1.31,-1.44,-1.17
0.23475967521193541,0.9156648592760159,1.1780086474808042,-0.9588355885336998,-1.3830736181929533,-1.35,-1.46,-1.25
