k,rho,nu,beta,delta,gamma
0.07949411083055052,0.8406675581780815,1.2814085024139263,-0.9552413994637688,-0.9494527312624557,-0.8470909323496438
0.11306850073148855,1.0385355799222333,1.1171896136457191,-0.9417373927819482,-0.9497706656751577,-0.8754609206850651
0.31464852273007926,0.9309576515602737,1.1748420229613974,-0.9133920653328523,-0.762622897812794,-0.7450695080715786
-0.0052476444121809795,1.0342587944499806,1.066512828180782,-0.9700443453673103,-1.3507089706561848,-0.6875277664427333
0.13884347951894116,1.0525609668431628,1.0493938940720329,-0.9433583354153512,-0.9850874934580902,-0.7012761220773415
0.08935177668505559,0.9233184904795598,1.141342473183842,-0.9614309171231362,-1.0672726809583946,-0.816360856385385
0.08212056428414627,1.154041830147722,1.0141609771738724,-0.9564953811078826,-0.9614394402078483,-0.7692019288905324
0.08250637587058027,1.0200587950262856,1.1448003085743164,-0.964653456810109,-1.0933583350610614,-0.6135569225298438
0.04085720434298473,0.9891721996252564,1.0880183665826844,-0.9728750113134353,-1.0678978901772638,-0.7992718525255676
0.07948905333354522,1.038814606104763,1.096022042104193,-0.9639417813602192,-0.9637917105205385,-0.840168125249167
0.06741730615745922,1.0488271122332122,1.0352313222400873,-0.9709666547398497,-1.022094249159667,-0.8864357565093194
0.11429277144620831,0.9879581264801377,1.0927743192381258,-0.9612590019610294,-0.9815086743399,-0.8353317641867923
0.0409586258090327,0.9733913714475131,1.090805244844079,-0.9550128481615661,-0.9981609745404622,-0.9340502722628845
0.09126646099848112,0.9701252989253495,1.1459290346562856,-0.9824740780709288,-1.0683653024833186,-0.8621564744240997
