k,rho,nu,beta,delta,sigma,lower,upper
0.009560637413675379,1.0018309417314688,1.0166333673901153,-1.0010478020061122,-0.9889853483481672,-2.12,-2.26,-1.99
0.008231918285460493,0.9838983239453623,1.0129165029237834,-1.0035558441192345,-0.9831599449902841,-2.08,-2.19,-1.98
-0.01332265068640465,1.0251338037053983,0.9901116915786659,-1.0065765647966232,-1.002814425716286,-2.02,-2.08,-1.97
0.020909734979700167,1.0077500920135276,1.0298431712142757,-0.9913485328650746,-0.983199836158842,-1.98,-2.07,-1.9
0.0272047761040246,0.968053417459459,0.9985107529946898,-0.9855857370006094,-1.0013426126487426,-1.97,-2.05,-1.9
0.012224111887095181,0.9975959638143597,1.006167893835552,-0.9975010974829925,-0.9888194470057581,-2.01,-2.08,-1.95
-0.005328529604180339,0.9977239765165473,1.0164207181426024,-1.0099469245043244,-0.9830863485003959,-2.0,-2.09,-1.93
0.030048004035751665,0.9899485534117032,0.979471343107513,-1.0014111993181634,-0.9976024034565649,-1.97,-2.06,-1.88
0.013763135793833921,0.9723394104535598,0.9931604696072619,-1.003085428661823,-0.9995069995638555,-1.94,-2.04,-1.86
-0.021891640130091945,0.9869871030851063,1.0426309100564666,-0.9947933579897874,-1.01865529401806,-2.04,-2.11,-1.98
0.017594971575526155,0.9954271423662928,1.000113839755492,-1.0024652395977345,-1.0011968192304113,-2.05,-2.11,-1.99
0.013262664382275625,0.9915735169563964,0.9785171981325929,-0.9944019036418345,-1.0000306714793252,-2.0,-2.06,-1.93
-0.01671801868817791,0.978251837681162,1.0155976476169783,-1.0117817947607322,-1.0309637233662572,-1.95,-2.04,-1.86
0.02042918097807686,0.9712565171604692,0.9657986691053859,-1.0018407885613285,-1.0090518256406544,-2.03,-2.11,-1.96
-0.030084213411075592,1.0094810374577876,1.0299590943408128,-1.0038630734934424,-0.97514274617566,-2.02,-2.16,-1.89
-0.009814307568111098,1.0064313191160887,1.0234921447110281,-1.0073356571681429,-1.0110560424232014,-2.08,-2.15,-2.01
-0.022096974716385172,1.0203262438808074,1.0084699855511792,-1.0064699221497815,-0.9821478237914683,-1.98,-2.05,-1.91
0.014553695179096934,0.9919282299355239,0.9786755666067353,-1.0020676462438973,-1.0082896837362196,-2.02,-2.13,-1.92
0.018703508943638182,0.99164690328381,0.9722041839447362,-1.01630848679946,-1.006899837616097,-1.98,-2.07,-1.89
0.00821887067598824,1.009038644781774,1.0142224764257217,-0.9891323497600202,-1.002870612230652,-1.99,-2.09,-1.9
-0.008165520875256363,0.9957710533506816,1.0314304958808078,-1.0066190207896963,-1.0067289089256173,-2.0,-2.08,-1.92
-0.04685028509881025,1.0114937831505706,1.0532303132199132,-1.001824255523415,-0.994264260994265,-2.03,-2.08,-1.97
0.025482972653676324,0.9995694424006929,1.0008257116486456,-0.9855198284248752,-0.975881105007302,-1.99,-2.09,-1.9
1.588793588761135e-05,1.000221859584357,1.0143118357884504,-0.9881965342854947,-0.9903491354565898,-2.01,-2.12,-1.9
-0.03517811705512258,1.0225419282379067,1.0316927833464602,-1.0188775700698698,-0.9843796699578407,-2.01,-2.11,-1.92
0.0005632335464507482,0.9860718519871775,0.9687804318041926,-0.9999782782428881,-1.0007058492565934,-2.02,-2.09,-1.96
-0.0029897787159207916,0.994229371257598,0.9824085656853477,-1.0071864541784947,-0.9995573656717163,-1.98,-2.04,-1.93
0.01030086120552476,1.0047713421680127,0.974811143775854,-0.9920843884527688,-0.9888075909308287,-2.02,-2.18,-1.88
-0.05328248586709875,1.0063758352088916,1.028176592867561,-1.0111218511919873,-1.0307715077350434,-2.01,-2.08,-1.94
-0.02490907375216488,1.0228351970817142,1.013596760782333,-1.0008923851154896,-0.9935308907315783,-2.02,-2.1,-1.94
0.010841392167735157,0.9772542299032083,1.0145958926587615,-0.9993521579158127,-0.9846684943437094,-1.95,-2.02,-1.88
0.0013024656458633524,1.0147787737206966,1.005121373890939,-0.9994658135796635,-0.9936616586561046,-1.96,-2.03,-1.92
-0.017004698295607017,0.9980761070963788,1.0107548208873158,-1.0086562160032164,-1.0102958109252316,-2.0,-2.06,-1.92
0.00659793344880685,0.9895492240165586,0.9737138411116976,-0.9942291502902179,-1.0236103852334995,-2.06,-2.14,-1.99
-0.0066956798436751345,1.0250310180556128,0.9417108600931126,-1.0075961672029536,-1.0273523570925454,-2.07,-2.17,-1.97
0.006850622336466012,0.9729042820298708,1.0212942828006857,-0.9993394528070328,-0.9975247330586627,-2.0,-2.1,-1.9
-0.014978728200970287,1.0086386119725859,1.0114733875857995,-0.9920241585967197,-0.9942735406813912,-2.02,-2.1,-1.94
-0.023341655377455826,0.989823200861704,1.0127225281865597,-1.0133169324700622,-1.023409201817586,-2.04,-2.1,-1.98
0.0070306790358169065,0.9924615652746902,0.9600724094028935,-1.011305150191133,-1.0079627514818836,-1.95,-2.06,-1.85
0.002555455426399075,1.011679031951474,1.019644855841598,-0.9825090735953099,-0.9883287523146986,-2.06,-2.17,-1.95
-0.026695849978374084,1.040799490222569,0.9796848673497736,-1.0118868269486219,-1.026493465481056,-1.99,-2.04,-1.93
0.016083923232028414,0.9926382611152333,0.9634628506303328,-0.9993868666003516,-0.9989490602078738,-1.99,-2.08,-1.9
-0.020694611261532048,1.0207909852795463,1.0111679594870167,-1.0060863216687328,-1.0044786061674547,-2.01,-2.09,-1.94
-0.0010568894352804845,0.9946463468556042,0.9749995565334211,-1.0071304709798483,-0.9898589607284501,-2.01,-2.11,-1.93
-0.026178612194647146,1.0102352199814808,1.0482801275903038,-1.0025775825845762,-1.0086975153722029,-2.13,-2.24,-2.04
0.00773640521068366,0.984993085262615,1.0132224850677636,-1.0024040680672122,-1.002070593948405,-1.93,-2.05,-1.84
-0.019872471249218777,0.9985211461344929,0.9965443505668632,-1.0102627976858145,-0.9889166903209785,-1.91,-2.0,-1.84
4.211792979506336e-07,1.0192810784653865,0.9897522749304282,-0.9975432339728822,-0.9994758583215044,-1.98,-2.05,-1.92
0.007622667430426974,0.9780910163479921,0.9904836716010796,-1.0034357203181918,-1.0015884658101926,-1.97,-2.05,-1.89
-0.02321712591161609,1.0219652769917755,1.0114170080663767,-0.9917525540152813,-0.9876968960128459,-1.96,-2.06,-1.86
-0.03609828275599808,1.0097506119344732,1.0188121879618988,-1.0053876107965438,-1.025241162381644,-2.02,-2.09,-1.96
0.016142810641180116,0.9952178441594222,1.0120755398567232,-0.9944436978407243,-1.0053621187283945,-2.0,-2.13,-1.9
-0.007691871630526587,1.0012793246525384,0.9867341434212564,-1.0008705369589812,-1.0097811509978327,-1.99,-2.04,-1.95
-0.02292710776647584,1.0199251813339312,1.018818954753403,-0.9994626476646215,-0.985532107197971,-1.95,-2.03,-1.88
-0.008701271426178778,1.008212663784471,0.9787447033419674,-1.0040572694494596,-1.0055582160887053,-1.9,-1.99,-1.81
-0.032673218229324855,1.0065319102975088,1.019050693436544,-1.0027145156196013,-1.0018601687702664,-1.98,-2.06,-1.92
0.033460650882817904,0.9831294256199565,1.0014280269406592,-0.9900222123084905,-0.9695416394628508,-1.95,-2.05,-1.86
-0.00193036497494028,1.0190542178569766,0.9783224282699583,-1.0047996008147564,-1.0323936250232368,-2.05,-2.13,-1.99
-0.0001927043985003045,0.992179443899363,1.001718979093098,-1.002062493876664,-0.9845633317260063,-2.05,-2.14,-1.97
0.02140892456773979,1.0072163088991963,0.9989176472239527,-0.9930770967174707,-1.0042170200104419,-1.9,-2.0,-1.8
