k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
-0.026776336318283973,0.9852058091618232,1.0284756735511884,-0.9991728122587793,-0.9993173913189222,-1.0016078649980242,-0.5,-2.02,-0.53,-0.48,-2.11,-1.94
-0.002511275470792101,0.9862604156961969,1.0166570284661844,-1.001952233958105,-1.008124020990743,-0.9982910626454162,-0.49,-2.04,-0.53,-0.45,-2.1,-1.97
0.018655181030723125,0.9879556046920366,0.9919833129213659,-0.9920635986369155,-1.0002927528182175,-0.9908810296947717,-0.5,-2.0,-0.51,-0.49,-2.07,-1.93
-0.02146844610907711,1.0134017075038766,1.0023603107246912,-0.9997357080693753,-1.033154976891617,-0.947199421815323,-0.52,-2.11,-0.55,-0.47,-2.23,-1.99
-0.01729366980265768,1.0148588244130754,1.0128251158857289,-0.9901041146114429,-1.0090527072706927,-0.9944696949594758,-0.49,-1.96,-0.52,-0.46,-2.02,-1.9
0.00869760710942228,0.9880589983022049,0.9996664907016127,-0.9924365269938262,-0.9917344896262857,-1.0011334812730563,-0.52,-1.92,-0.56,-0.49,-2.03,-1.82
0.009873955203980102,0.989200257872595,0.9878589910031135,-1.0018874304327352,-0.9946794634209359,-1.0019589657610102,-0.49,-2.01,-0.52,-0.44,-2.04,-1.96
-0.04297837722308711,1.0014007726901202,1.0139370270266344,-0.9996537175369699,-1.0084656921542048,-1.0127708095426617,-0.5,-1.95,-0.53,-0.48,-2.01,-1.89
-0.012579842721210465,0.9964372513854429,0.9667176133161535,-0.9995411560643035,-0.9926215759433681,-1.0333088528673091,-0.45,-2.0,-0.5,-0.4,-2.09,-1.91
-0.0179656355959539,1.0075763306481904,1.0020518120043747,-1.00589800647148,-1.0015316517604682,-0.9892897202023443,-0.49,-2.05,-0.52,-0.46,-2.11,-2.0
-0.015789200409940335,1.008831064791449,1.020579192715519,-1.009082848612617,-1.004628053087537,-1.0079519531871302,-0.52,-2.0,-0.57,-0.48,-2.08,-1.9
0.016442142271247497,0.9905310008931003,0.9955415014190635,-1.0038659025508636,-0.9896004798326079,-0.9868521552378491,-0.47,-2.02,-0.5,-0.43,-2.08,-1.95
-0.042041634963967164,1.0130383765710747,1.0431731796241934,-0.9994439133650705,-1.01973431338975,-1.0041717766018832,-0.52,-1.97,-0.6,-0.44,-2.05,-1.9
0.01327043255035833,1.0372385173080012,1.0002006924997964,-0.995621592096974,-0.9984791905436037,-1.0055572678352238,-0.51,-2.04,-0.52,-0.49,-2.14,-1.95
